date,widget_basic_sales,widget_killdozer_sales,widget_master_sales,total_sales
2016-01-01,728.035800280256,479.879986237765,607.620509248879,1815.5362957669
2016-01-02,186.584895643076,288.478903932634,424.772389382356,899.836188958066
2016-01-03,573.316523649269,617.750701267956,193.229926767425,1384.29715168465
2016-01-04,474.766261435232,325.260919273328,355.022302901497,1155.04948361006
2016-01-05,405.873054517088,363.657904333627,395.441659525342,1164.97261837606
2016-01-06,213.949389652079,577.129849182417,543.527166458927,1334.60640529342
2016-01-07,696.004743161872,667.36020625325,272.682835182002,1636.04778459712
2016-01-08,616.663869548519,470.958496908434,325.505544049201,1413.12791050615
2016-01-09,469.729348584273,405.407514512366,408.458221366726,1283.59508446337
2016-01-10,639.088981523014,375.641508198202,609.844536001465,1624.57502572268
2016-01-11,405.613961580724,470.635805455555,409.24170278532,1285.4914698216
2016-01-12,754.1001003907,605.992430679825,607.917132728571,1968.0096637991
2016-01-13,692.519078763849,318.015483424261,329.346755085187,1339.8813172733
2016-01-14,378.091947720981,588.630755239235,597.023470569565,1563.74617352978
2016-01-15,446.917715035884,539.55618050018,305.609277288136,1292.0831728242
2016-01-16,644.807470271823,655.512325542255,756.012137484349,2056.33193329843
2016-01-17,745.771541577772,423.95810937665,155.973328673308,1325.70297962773
2016-01-18,226.075244083828,515.932143107715,707.863652908441,1449.87104009998
2016-01-19,445.876921561966,607.738322894281,561.525593629339,1615.14083808559
2016-01-20,391.368057344742,317.05189546255,401.59301019337,1110.01296300066
2016-01-21,528.935612247072,647.097466526206,733.128141875874,1909.16122064915
2016-01-22,709.960412128189,365.158437652808,227.871866700184,1302.99071648118
2016-01-23,505.91787226638,365.802605961159,660.5276797696,1532.24815799714
2016-01-24,460.568195050903,624.43246025184,635.183945098803,1720.18460040155
2016-01-25,194.375134958261,311.915111025976,739.6122222432,1245.90246822744
2016-01-26,432.831590455592,368.336958202921,407.642269654103,1208.81081831262
2016-01-27,694.271666276299,472.443411430606,590.348482764274,1757.06356047118
2016-01-28,634.599524335887,642.119463006218,705.147382876893,1981.866370219
2016-01-29,700.432704540701,490.769826557249,211.541754401328,1402.74428549928
2016-01-30,411.166271540725,668.345865824964,637.15342372739,1716.66556109308
2016-01-31,651.898765027778,374.638044140037,199.211097135586,1225.7479063034
2016-02-01,540.173036609994,419.305658111759,446.768593390537,1406.24728811229
2016-02-02,756.089652260069,535.756208639639,845.949588263672,2137.79544916338
